#<h1>322 - Terminal Operations and Intermodal Ramp Activity</h1><br>,F
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,F
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
ZC1,,1,no,yes,landmark,Beginning Segment for Data Correction or Change,3,3,-,O,F
ZC1,,1,no,no,e01,Shipment Identification Number,1,30,-,O,F
ZC1,,1,no,no,e02,Equipment Initial,1,4,-,O,F
ZC1,,1,no,no,e03,Equipment Number,1,15,-,M,F
ZC1,,1,no,no,e04,Transaction Reference Number,1,50,-,M,F
ZC1,,1,no,no,e05,Transaction Reference Date,8,8,-,M,F
ZC1,,1,no,no,e06,Correction Indicator,2,2,-,M,F
ZC1,,1,no,no,e07,Standard Carrier Alpha Code,2,4,-,M,F
ZC1,,1,no,no,e08,Transportation Method/Type Code,1,2,-,M/Z,F
ZC1,,1,no,no,e09,Equipment Number Check Digit,1,1,-,O/Z,F
Q5,,1,no,yes,landmark,Status Details,2,2,-,M,F
Q5,,1,no,no,e01,Shipment Status Code,1,2,-,O,F
Q5,,1,no,no,e02,Date,8,8,-,O/Z,F
Q5,,1,no,no,e03,Time,4,8,-,X/Z,F
Q5,,1,no,no,e04,Time Code,2,2,-,X,F
Q5,,1,no,no,e05,Status Reason Code,3,3,-,O,F
Q5,,1,no,no,e06,City Name,2,30,-,X,F
Q5,,1,no,no,e07,State or Province Code,2,2,-,O,F
Q5,,1,no,no,e08,Country Code,2,3,-,O,F
Q5,,1,no,no,e09,Equipment Initial,1,4,-,O,F
Q5,,1,no,no,e10,Equipment Number,1,15,-,O,F
Q5,,1,no,no,e11,Reference Identification Qualifier,2,3,-,X,F
Q5,,1,no,no,e12,Reference Identification,1,50,-,X,F
Q5,,1,no,no,e13,Direction Identifier Code,1,1,-,O/Z,F
Q5,,1,no,no,e14,Reference Identification Qualifier,2,3,-,X,F
Q5,,1,no,no,e15,Reference Identification,1,50,-,X,F
Q5,,1,no,no,e16,Direction Identifier Code,1,1,-,O/Z,F
Q5,,1,no,no,e17,Percentage as Decimal,1,10,-,O/Z,F
Q5,,1,no,no,e18,Pickup or Delivery Code,1,2,-,O,F
N7,,1000,yes,yes,landmark,Equipment Details,2,2,-,M,F
N7,,1,no,no,e01,Equipment Initial,1,4,-,O,F
N7,,1,no,no,e02,Equipment Number,1,15,-,M,F
N7,,1,no,no,e03,Weight,1,10,-,X,F
N7,,1,no,no,e04,Weight Qualifier,1,2,-,X,F
N7,,1,no,no,e05,Tare Weight,3,8,-,X,F
N7,,1,no,no,e06,Weight Allowance,2,6,-,O,F
N7,,1,no,no,e07,Dunnage,1,6,-,O,F
N7,,1,no,no,e08,Volume,1,8,-,X,F
N7,,1,no,no,e09,Volume Unit Qualifier,1,1,-,X,F
N7,,1,no,no,e10,Ownership Code,1,1,-,O,F
N7,,1,no,no,e11,Equipment Description Code,2,2,-,O,F
N7,,1,no,no,e12,Standard Carrier Alpha Code,2,4,-,O/Z,F
N7,,1,no,no,e13,Temperature Control,3,6,-,O,F
N7,,1,no,no,e14,Position,1,3,-,O,F
N7,,1,no,no,e15,Equipment Length,4,5,-,O,F
N7,,1,no,no,e16,Tare Qualifier Code,1,1,-,X,F
N7,,1,no,no,e17,Weight Unit Code,1,1,-,O,F
