#<h1>410 - Rail Carrier Freight Details and Invoice</h1><br>,F
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,F
ST,,1,no,yes,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,no,no,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,no,no,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,no,no,e03,Implementation Convention Reference,1,35,-,O/Z,F
B3B,,1,no,yes,landmark,Beginning Segment for Rail Carrier's Invoice,3,3,-,M,F
B3B,,1,no,no,e01,Invoice Number,1,22,-,M,F
B3B,,1,no,no,e02,Shipment Method of Payment,2,2,-,M,F
B3B,,1,no,no,e03,Date,8,8,-,M/Z,F
B3B,,1,no,no,e04,Net Amount Due,1,12,-,M,F
B3B,,1,no,no,e05,Date,8,8,-,O/Z,F
B3B,,1,no,no,e06,Standard Carrier Alpha Code,2,4,-,M,F
B3B,,1,no,no,e07,Transportation Method/Type Code,1,2,-,M,F
B3B,,1,no,no,e08,Shipment Identification Number,1,30,-,O,F
B3B,,1,no,no,e09,Weight Unit Code,1,1,-,O,F
B3B,,1,no,no,e10,Correction Indicator,2,2,-,O,F
B3B,,1,no,no,e11,Currency Code,3,3,-,O/Z,F
C4,,1,no,yes,landmark,Alternate Amount Due,2,2,-,O,F
C4,,1,no,no,e01,Currency Code,3,3,-,M,F
C4,,1,no,no,e02,Net Amount Due,1,12,-,M,F
N9,,30,no,yes,landmark,Extended Reference Information,2,2,-,O,F
N9,,1,no,no,e01,Reference Identification Qualifier,2,3,-,M,F
N9,,1,no,no,e02,Reference Identification,1,50,-,X,F
N9,,1,no,no,e03,Free-form Description,1,45,-,X,F
N9,,1,no,no,e04,Date,8,8,-,O,F
N9,,1,no,no,e05,Time,4,8,-,X,F
N9,,1,no,no,e06,Time Code,2,2,-,O/Z,F
CM,,2,no,yes,landmark,Cargo Manifest,2,2,-,O,F
CM,,1,no,no,e01,Flight/Voyage Number,2,10,-,O,F
CM,,1,no,no,e02,Port or Terminal Function Code,1,1,-,X,F
CM,,1,no,no,e03,Port Name,2,24,-,O,F
CM,,1,no,no,e04,Date,8,8,-,O/Z,F
CM,,1,no,no,e05,Booking Number,1,17,-,O,F
CM,,1,no,no,e06,Standard Carrier Alpha Code,2,4,-,O/Z,F
CM,,1,no,no,e07,Standard Carrier Alpha Code,2,4,-,O/Z,F
CM,,1,no,no,e08,Date,8,8,-,O/Z,F
CM,,1,no,no,e09,Vessel Name,2,28,-,O,F
CM,,1,no,no,e10,Pier Number,1,4,-,O,F
CM,,1,no,no,e11,Pier Name,2,14,-,O,F
CM,,1,no,no,e12,Terminal Name,2,30,-,O,F
CM,,1,no,no,e13,State or Province Code,2,2,-,O,F
CM,,1,no,no,e14,Country Code,2,3,-,O,F
CM,,1,no,no,e15,Reference Identification,1,50,-,O/Z,F
CM,,1,no,no,e16,Correction Indicator,2,2,-,O,F
CM,,1,no,no,e17,Transportation Method/Type Code,1,2,-,O,F
NTE,,2,no,yes,landmark,Note/Special Instruction,3,3,-,O,F
NTE,,1,no,no,e01,Note Reference Code,3,3,-,O,F
NTE,,1,no,no,e02,Description,1,80,-,M,F
N7,,500,yes,yes,landmark,Equipment Details,2,2,-,M,F
N7,,1,no,no,e01,Equipment Initial,1,4,-,O,F
N7,,1,no,no,e02,Equipment Number,1,15,-,M,F
N7,,1,no,no,e03,Weight,1,10,-,X,F
N7,,1,no,no,e04,Weight Qualifier,1,2,-,X,F
