#<h1>860 - Purchase Order Change Request - Buyer Initiated</h1><br>,F
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status,F
ST,,1,0,1,landmark,Transaction Set Header,2,2,-,M,F
ST,,1,0,0,e01,Transaction Set Identifier Code,3,3,-,M/Z,F
ST,,1,0,0,e02,Transaction Set Control Number,4,9,-,M,F
ST,,1,0,0,e03,Implementation Convention Reference,1,35,-,O/Z,F
BCH,,1,0,1,landmark,Beginning Segment for Purchase Order Change,3,3,-,M,F
BCH,,1,0,0,e01,Transaction Set Purpose Code,2,2,-,M,F
BCH,,1,0,0,e02,Purchase Order Type Code,2,2,-,M,F
BCH,,1,0,0,e03,Purchase Order Number,1,22,-,M,F
BCH,,1,0,0,e04,Release Number,1,30,-,O,F
BCH,,1,0,0,e05,Change Order Sequence Number,1,8,-,O,F
BCH,,1,0,0,e06,Date,8,8,-,M/Z,F
BCH,,1,0,0,e07,Request Reference Number,1,45,-,O,F
BCH,,1,0,0,e08,Contract Number,1,30,-,O,F
BCH,,1,0,0,e09,Reference Identification,1,50,-,O/Z,F
BCH,,1,0,0,e10,Date,8,8,-,O/Z,F
BCH,,1,0,0,e11,Date,8,8,-,O/Z,F
BCH,,1,0,0,e12,Contract Type Code,2,2,-,O,F
BCH,,1,0,0,e13,Security Level Code,2,2,-,O,F
BCH,,1,0,0,e14,Acknowledgment Type,2,2,-,O,F
BCH,,1,0,0,e15,Transaction Type Code,2,2,-,O,F
BCH,,1,0,0,e16,Purchase Category,2,2,-,O,F
CUR,,1,0,1,landmark,Currency,3,3,-,O,F
CUR,,1,0,0,e01,Entity Identifier Code,2,3,-,M,F
CUR,,1,0,0,e02,Currency Code,3,3,-,M,F
CUR,,1,0,0,e03,Exchange Rate,4,10,-,O,F
CUR,,1,0,0,e04,Entity Identifier Code,2,3,-,O,F
CUR,,1,0,0,e05,Currency Code,3,3,-,O,F
CUR,,1,0,0,e06,Currency Market/Exchange Code,3,3,-,O,F
CUR,,1,0,0,e07,Date/Time Qualifier,3,3,-,X,F
CUR,,1,0,0,e08,Date,8,8,-,O,F
CUR,,1,0,0,e09,Time,4,8,-,O,F
CUR,,1,0,0,e10,Date/Time Qualifier,3,3,-,X,F
CUR,,1,0,0,e11,Date,8,8,-,X,F
CUR,,1,0,0,e12,Time,4,8,-,X,F
CUR,,1,0,0,e13,Date/Time Qualifier,3,3,-,X,F
CUR,,1,0,0,e14,Date,8,8,-,X,F
CUR,,1,0,0,e15,Time,4,8,-,X,F
CUR,,1,0,0,e16,Date/Time Qualifier,3,3,-,X,F
CUR,,1,0,0,e17,Date,8,8,-,X,F
CUR,,1,0,0,e18,Time,4,8,-,X,F
CUR,,1,0,0,e19,Date/Time Qualifier,3,3,-,X,F
CUR,,1,0,0,e20,Date,8,8,-,X,F
CUR,,1,0,0,e21,Time,4,8,-,X,F
REF,,99999,0,1,landmark,Reference Information,3,3,-,O,F
REF,,1,0,0,e01,Reference Identification Qualifier,2,3,-,M,F
REF,,1,0,0,e02,Reference Identification,1,50,-,X,F
REF,,1,0,0,e03,Description,1,80,-,X,F
PER,,3,0,1,landmark,Administrative Communications Contact,3,3,-,O,F
PER,,1,0,0,e01,Contact Function Code,2,2,-,M,F
PER,,1,0,0,e02,Name,1,60,-,O,F
PER,,1,0,0,e03,Communication Number Qualifier,2,2,-,X,F
PER,,1,0,0,e04,Communication Number,1,256,-,X,F
PER,,1,0,0,e05,Communication Number Qualifier,2,2,-,X,F
PER,,1,0,0,e06,Communication Number,1,256,-,X,F
PER,,1,0,0,e07,Communication Number Qualifier,2,2,-,X,F
PER,,1,0,0,e08,Communication Number,1,256,-,X,F
PER,,1,0,0,e09,Contact Inquiry Reference,1,20,-,O,F
TAX,,99999,0,1,landmark,Tax Reference,3,3,-,O,F
TAX,,1,0,0,e01,Tax Identification Number,1,20,-,X,F
TAX,,1,0,0,e02,Location Qualifier,1,2,-,X,F
TAX,,1,0,0,e03,Location Identifier,1,30,-,X,F
TAX,,1,0,0,e04,Location Qualifier,1,2,-,X,F
TAX,,1,0,0,e05,Location Identifier,1,30,-,X,F
TAX,,1,0,0,e06,Location Qualifier,1,2,-,X,F
TAX,,1,0,0,e07,Location Identifier,1,30,-,X,F
TAX,,1,0,0,e08,Location Qualifier,1,2,-,X,F
TAX,,1,0,0,e09,Location Identifier,1,30,-,X,F
TAX,,1,0,0,e10,Location Qualifier,1,2,-,X,F
TAX,,1,0,0,e11,Location Identifier,1,30,-,X,F
TAX,,1,0,0,e12,Tax Exempt Code,1,1,-,O,F
TAX,,1,0,0,e13,Customs Entry Type Group Code,1,1,-,O,F
FOB,,99999,0,1,landmark,F.O.B. Related Instructions,3,3,-,O,F
FOB,,1,0,0,e01,Shipment Method of Payment,2,2,-,M/Z,F
FOB,,1,0,0,e02,Location Qualifier,1,2,-,X/Z,F
FOB,,1,0,0,e03,Description,1,80,-,O,F
FOB,,1,0,0,e04,Transportation Terms Qualifier Code,2,2,-,O,F
